room_id,previous04_a,previous04_b,current07_a,current07_b,readable_diagnostic_views,structure_findings,final_room_acceptance
GUEST_B1_BATH,FRAMING_FAIL,FRAMING_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,0,[],NOT_ACCEPTED
GUEST_B1_LAUNDRY,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
GUEST_B1_STAIR,FRAMING_FAIL,FRAMING_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,0,[],NOT_ACCEPTED
GUEST_L1_BATH,ILLUMINATION_FAIL,ILLUMINATION_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L1_BOILER,ILLUMINATION_FAIL,ILLUMINATION_FAIL,LIMITED_COMPOSITION,FRAMING_FAIL,0,[],NOT_ACCEPTED
GUEST_L1_CAR_COURT,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,1,[],NOT_ACCEPTED
GUEST_L1_CHAUFFEUR_LOUNGE,ILLUMINATION_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,1,[],NOT_ACCEPTED
GUEST_L1_GALLERY,READABLE_DIAGNOSTIC,FRAMING_FAIL,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
GUEST_L1_GUEST_ROOM,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L1_LOUNGE,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L1_POOL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L1_STAIR_HALL,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
GUEST_L1_TERRACE,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L1_THEATER,ILLUMINATION_FAIL,ILLUMINATION_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L2_BATH,LIMITED_COMPOSITION,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L2_BEDROOM_MIDDLE,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L2_BEDROOM_NORTH,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L2_BEDROOM_SOUTH,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
GUEST_L2_HALL,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,1,[],NOT_ACCEPTED
GUEST_L2_TERRACE,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_B_BATH,FRAMING_FAIL,FRAMING_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,0,[],NOT_ACCEPTED
MAIN_B_BOILER,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
MAIN_B_FOUNDATION_1,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_B_FOUNDATION_2,READABLE_DIAGNOSTIC,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_B_FOUNDATION_3,READABLE_DIAGNOSTIC,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_B_PLUNGE,LIMITED_COMPOSITION,ILLUMINATION_FAIL,LIMITED_COMPOSITION,FRAMING_FAIL,0,[],NOT_ACCEPTED
