component_id,source,original,original_unit,meters,method,uncertainty_m,model_m,difference_m,evidence,notes
MAIN_CHAIN_TOTAL,HABS PA-5346 sheet 04,120 ft 4.25 in,feet/inches,36.68395,dimension label plus traced extension endpoints,0.1,36.68,-0.003950000000003229,A,
MAIN_CHAIN_01,HABS PA-5346 sheet 04,9 ft 7.25 in,feet/inches,2.92735,dimension label plus traced extension endpoints,0.1,2.9868,0.05945,A,
MAIN_CHAIN_02,HABS PA-5346 sheet 04,7 ft 8.5 in,feet/inches,2.3495,dimension label plus traced extension endpoints,0.07,2.3056,-0.04389999999999983,A,
MAIN_CHAIN_03,HABS PA-5346 sheet 04,11 ft,feet/inches,3.3528000000000002,dimension label plus traced extension endpoints,0.01,3.3560654640049794,0.0032654640049791794,A,
MAIN_CHAIN_04,HABS PA-5346 sheet 04,24 ft 6 in,feet/inches,7.467600000000001,dimension label plus traced extension endpoints,0.09,7.4408,-0.0268000000000006,A,
MAIN_CHAIN_05,HABS PA-5346 sheet 04,11 ft 8 in,feet/inches,3.556,dimension label plus traced extension endpoints,0.08,3.5108,-0.04519999999999991,A,
MAIN_CHAIN_06,HABS PA-5346 sheet 04,17 ft 9 in,feet/inches,5.410200000000001,dimension label plus traced extension endpoints,0.08,5.3972,-0.013000000000000789,A,
MAIN_CHAIN_07,HABS PA-5346 sheet 04,13 ft 9 in,feet/inches,4.191,dimension label plus traced extension endpoints,0.09,4.244400000000001,0.05340000000000078,A,
MAIN_CHAIN_08,HABS PA-5346 sheet 04,22 ft 5.5 in,feet/inches,6.845300000000001,dimension label plus traced extension endpoints,0.09,6.812,-0.03330000000000055,A,
MAIN_CHAIN_09,HABS PA-5346 sheet 04,1 ft 11 in,feet/inches,0.5842,dimension label plus traced extension endpoints,0.07,0.5764,-0.007800000000000029,A,
MAIN_VERTICAL_TOTAL,HABS PA-5346 sheet 04,54 ft 9.75 in,feet/inches,16.70685,dimension label plus traced extension endpoints,0.1,16.7265,0.019650000000002166,A,
MAIN_LIVING_NOMINAL_LENGTH,HABS PA-5346 sheet 04,48 ft,feet/inches,14.630400000000002,read dimension label,0.15,,,A,
