component_id,source,original,original_unit,meters,method,uncertainty_m,source_recorded_uncertainty_m,survey_absolute_accuracy_m,nominal_target_review,model_m,difference_m,evidence,numeric_result,standard_result,tolerance_m,source_precision_exceeds_tolerance,building,feature_category,scene_sha256,mesh_selector_evidence,notes
MAIN_CHAIN_TOTAL,HABS PA-5346 sheet 04,120 ft 4.25 in,feet/inches,36.68395,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.18341975000000002,False,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],The chain reaches the far bridge/retaining edge outside the main-house module; its westmost extension is an outside paving/rock station with no named matching main mesh. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_01,HABS PA-5346 sheet 04,9 ft 7.25 in,feet/inches,2.92735,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],The west pair of dimension extension lines refer to exterior paving/retaining stations; these are not explicit named main-house mesh boundaries. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_02,HABS PA-5346 sheet 04,7 ft 8.5 in,feet/inches,2.3495,NOT_RUN,0.07,0.07,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],The west extension station at source x=284 has no unambiguous named main-house boundary; cannot independently pair it with the spine face. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_03,HABS PA-5346 sheet 04,11 ft,feet/inches,3.3528000000000002,Actual evaluated east outer faces of two north masonry returns; original TIFF extension lines establish the correspondence.,0.01,0.01,,,3.3527998998761177,-1.0012388251823268e-07,"A label; C source-to-mesh correspondence, unless noted",PASS,PASS,0.02,False,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,"[{""object"":""MAIN_L1_north_spine_1"",""axis"":""X"",""side"":""max"",""coordinate_m"":0.06780003756284714,""point_m"":[0.06780003756284714,16.719499588012695,0.10699999332427979],""evaluated_vertex_ids"":[14,22,42,51],""representative_vertex_id"":22,""selected_objects"":[""MAIN_L1_north_spine_1""]},{""object"":""MAIN_L1_north_spine_3"",""axis"":""X"",""side"":""max"",""coordinate_m"":3.420599937438965,""point_m"":[3.420599937438965,14.184700012207031,0.10699999332427979],""evaluated_vertex_ids"":[14,22,42,51],""representative_vertex_id"":14,""selected_objects"":[""MAIN_L1_north_spine_3""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
MAIN_CHAIN_04,HABS PA-5346 sheet 04,24 ft 6 in,feet/inches,7.467600000000001,NOT_RUN,0.09,0.09,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.037338,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],The east extension at source x=535 meets the loggia/entry terrace transition; the exact referenced face versus paving station is not established in the current main mesh. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_05,HABS PA-5346 sheet 04,11 ft 8 in,feet/inches,3.556,NOT_RUN,0.08,0.08,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],The two loggia/paving extension stations are not independently mapped to modeled outer faces; the traced floor boundary alone cannot certify the label. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_06,HABS PA-5346 sheet 04,17 ft 9 in,feet/inches,5.410200000000001,NOT_RUN,0.08,0.08,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.027051000000000002,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"The dimension crosses the loggia/stair/retaining transition; top landing, retaining wall and paving have different physical ends and the label-to-face match is unresolved. Full-scene presence alone does not establish source endpoint identity."
MAIN_CHAIN_07,HABS PA-5346 sheet 04,13 ft 9 in,feet/inches,4.191,NOT_RUN,0.09,0.09,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.020954999999999998,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"This span includes the bridge approach, built by the site module; main-only scene lacks the east surveyed station. Full-scene presence alone does not establish source endpoint identity."
MAIN_CHAIN_08,HABS PA-5346 sheet 04,22 ft 5.5 in,feet/inches,6.845300000000001,NOT_RUN,0.09,0.09,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.03422650000000001,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],This bridge/site span is outside the main-house module; no actual main mesh can supply both ends. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_09,HABS PA-5346 sheet 04,1 ft 11 in,feet/inches,0.5842,NOT_RUN,0.07,0.07,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],The final bridge/retaining-edge span is outside the main-house module. Full-scene presence alone does not establish source endpoint identity.
MAIN_VERTICAL_TOTAL,HABS PA-5346 sheet 04,54 ft 9.75 in,feet/inches,16.70685,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.08353425,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"South parapet exterior is modeled, but the north source y=229 extension face at the servant/service entry is not resolved between open entry paving, room floor and wall; do not substitute nearest vertices. Full-scene presence alone does not establish source endpoint identity."
MAIN_LIVING_NOMINAL_LENGTH,HABS PA-5346 sheet 04,48 ft,feet/inches,14.630400000000002,NOT_RUN,0.15,0.15,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.07315200000000001,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_LIVING_NOMINAL_WIDTH,HABS PA-5346 sheet 04,33 ft 8 in,feet/inches,10.261600000000001,NOT_RUN,0.15,0.15,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.051308000000000006,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_KITCHEN_NOMINAL_LENGTH,HABS PA-5346 sheet 04,15 ft 9 in,feet/inches,4.8006,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.024003,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_KITCHEN_NOMINAL_WIDTH,HABS PA-5346 sheet 04,12 ft,feet/inches,3.6576000000000004,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_SERVANT_NOMINAL_LENGTH,HABS PA-5346 sheet 04,11 ft 5 in,feet/inches,3.4798,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_SERVANT_NOMINAL_WIDTH,HABS PA-5346 sheet 04,9 ft 4 in,feet/inches,2.8448,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,489b05e403aa9d02c3568a8e3813a24235ee5b7e782df4d1f149b3ff6673e331,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
