component_id,source,original,original_unit,meters,method,uncertainty_m,source_recorded_uncertainty_m,survey_absolute_accuracy_m,nominal_target_review,model_m,difference_m,evidence,numeric_result,standard_result,tolerance_m,source_precision_exceeds_tolerance,building,feature_category,scene_sha256,mesh_selector_evidence,notes
MAIN_CHAIN_TOTAL,HABS PA-5346 sheet 04,120 ft 4.25 in,feet/inches,36.68395,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.18341975000000002,False,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],The chain reaches the far bridge/retaining edge outside the main-house module; its westmost extension is an outside paving/rock station with no named matching main mesh. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_01,HABS PA-5346 sheet 04,9 ft 7.25 in,feet/inches,2.92735,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],The west pair of dimension extension lines refer to exterior paving/retaining stations; these are not explicit named main-house mesh boundaries. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_02,HABS PA-5346 sheet 04,7 ft 8.5 in,feet/inches,2.3495,NOT_RUN,0.07,0.07,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],The west extension station at source x=284 has no unambiguous named main-house boundary; cannot independently pair it with the spine face. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_03,HABS PA-5346 sheet 04,11 ft,feet/inches,3.3528000000000002,Actual evaluated east outer faces of two north masonry returns; original TIFF extension lines establish the correspondence.,0.01,0.01,,,3.3527998998761177,-1.0012388251823268e-07,"A label; C source-to-mesh correspondence, unless noted",PASS,PASS,0.02,False,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""MAIN_L1_north_spine_1"",""axis"":""X"",""side"":""max"",""coordinate_m"":0.06780003756284714,""point_m"":[0.06780003756284714,16.719499588012695,0.10699999332427979],""evaluated_vertex_ids"":[14,22,42,51],""representative_vertex_id"":22,""selected_objects"":[""MAIN_L1_north_spine_1""]},{""object"":""MAIN_L1_north_spine_3"",""axis"":""X"",""side"":""max"",""coordinate_m"":3.420599937438965,""point_m"":[3.420599937438965,14.184700012207031,0.10699999332427979],""evaluated_vertex_ids"":[14,22,42,51],""representative_vertex_id"":14,""selected_objects"":[""MAIN_L1_north_spine_3""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
MAIN_CHAIN_04,HABS PA-5346 sheet 04,24 ft 6 in,feet/inches,7.467600000000001,NOT_RUN,0.09,0.09,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.037338,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],The east extension at source x=535 meets the loggia/entry terrace transition; the exact referenced face versus paving station is not established in the current main mesh. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_05,HABS PA-5346 sheet 04,11 ft 8 in,feet/inches,3.556,NOT_RUN,0.08,0.08,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],The two loggia/paving extension stations are not independently mapped to modeled outer faces; the traced floor boundary alone cannot certify the label. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_06,HABS PA-5346 sheet 04,17 ft 9 in,feet/inches,5.410200000000001,NOT_RUN,0.08,0.08,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.027051000000000002,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"The dimension crosses the loggia/stair/retaining transition; top landing, retaining wall and paving have different physical ends and the label-to-face match is unresolved. Full-scene presence alone does not establish source endpoint identity."
MAIN_CHAIN_07,HABS PA-5346 sheet 04,13 ft 9 in,feet/inches,4.191,NOT_RUN,0.09,0.09,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.020954999999999998,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"This span includes the bridge approach, built by the site module; main-only scene lacks the east surveyed station. Full-scene presence alone does not establish source endpoint identity."
MAIN_CHAIN_08,HABS PA-5346 sheet 04,22 ft 5.5 in,feet/inches,6.845300000000001,NOT_RUN,0.09,0.09,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.03422650000000001,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],This bridge/site span is outside the main-house module; no actual main mesh can supply both ends. Full-scene presence alone does not establish source endpoint identity.
MAIN_CHAIN_09,HABS PA-5346 sheet 04,1 ft 11 in,feet/inches,0.5842,NOT_RUN,0.07,0.07,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],The final bridge/retaining-edge span is outside the main-house module. Full-scene presence alone does not establish source endpoint identity.
MAIN_VERTICAL_TOTAL,HABS PA-5346 sheet 04,54 ft 9.75 in,feet/inches,16.70685,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.08353425,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"South parapet exterior is modeled, but the north source y=229 extension face at the servant/service entry is not resolved between open entry paving, room floor and wall; do not substitute nearest vertices. Full-scene presence alone does not establish source endpoint identity."
MAIN_LIVING_NOMINAL_LENGTH,HABS PA-5346 sheet 04,48 ft,feet/inches,14.630400000000002,NOT_RUN,0.15,0.15,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.07315200000000001,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_LIVING_NOMINAL_WIDTH,HABS PA-5346 sheet 04,33 ft 8 in,feet/inches,10.261600000000001,NOT_RUN,0.15,0.15,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.051308000000000006,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_KITCHEN_NOMINAL_LENGTH,HABS PA-5346 sheet 04,15 ft 9 in,feet/inches,4.8006,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.024003,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_KITCHEN_NOMINAL_WIDTH,HABS PA-5346 sheet 04,12 ft,feet/inches,3.6576000000000004,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_SERVANT_NOMINAL_LENGTH,HABS PA-5346 sheet 04,11 ft 5 in,feet/inches,3.4798,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_SERVANT_NOMINAL_WIDTH,HABS PA-5346 sheet 04,9 ft 4 in,feet/inches,2.8448,NOT_RUN,0.1,0.1,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh bounding span is diagnostic only. The original label has no extension lines resolving which stepped wall, cabinet recess or net/gross boundary it measures. No claim of label-to-mesh conformity is made from a bounding box. Full-scene presence alone does not establish source endpoint identity."
MAIN_LEVEL_2,HABS PA-5346 sheet 10,9 ft 4 in,feet/inches,2.8448,Actual evaluated finished terrace top Z difference. Both finish elevations are remeasured; no assumed cancellation of historic finish thicknesses.,,0.025,,qa/dimension-precision07-review.json,2.8448000699281693,6.99281690330622e-08,A label; Independently verified nominal target: VERIFIED_RELATIVE_FINISHED_TERRACE_DATUMS,PASS,PASS,0.02,,MAIN,elevation,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""MAIN_L1_TERRACE_W_finish"",""axis"":""Z"",""side"":""max"",""coordinate_m"":0.02199999988079071,""point_m"":[-4.611199855804443,0.10620000213384628,0.02199999988079071],""evaluated_vertex_ids"":[4,5,6,7],""representative_vertex_id"":4,""selected_objects"":[""MAIN_L1_TERRACE_W_finish""]},{""object"":""MAIN_L2_TERRACE_S_finish"",""axis"":""Z"",""side"":""max"",""coordinate_m"":2.86680006980896,""point_m"":[-0.2619999945163727,-1.9646999835968018,2.86680006980896],""evaluated_vertex_ids"":[4,5,6,7],""representative_vertex_id"":4,""selected_objects"":[""MAIN_L2_TERRACE_S_finish""]}]",Verified nominal drawing-target comparison; absolute survey accuracy UNKNOWN.
MAIN_LEVEL_3,HABS PA-5346 sheet 10,17 ft 3.25 in,feet/inches,5.264150000000001,Actual slab top Z difference from actual main terrace datum slab; no finish thickness substituted.,0.025,0.025,,,5.264150142669678,1.426696769613045e-07,"A label; C source-to-mesh correspondence, unless noted",PASS,PASS,0.026320750000000004,False,MAIN,elevation,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""MAIN_L1_TERRACE_W_slab"",""axis"":""Z"",""side"":""max"",""coordinate_m"":0.0,""point_m"":[-4.611199855804443,0.10620000213384628,0.0],""evaluated_vertex_ids"":[4,5,6,7],""representative_vertex_id"":4,""selected_objects"":[""MAIN_L1_TERRACE_W_slab""]},{""object"":""MAIN_L3_TERRACE_slab"",""axis"":""Z"",""side"":""max"",""coordinate_m"":5.264150142669678,""point_m"":[0.3668000102043152,8.549099922180176,5.264150142669678],""evaluated_vertex_ids"":[10,11,12,13,14,15,16,17,18,19],""representative_vertex_id"":10,""selected_objects"":[""MAIN_L3_TERRACE_slab""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
MAIN_ROOF_EAST,HABS PA-5346 sheet 10,24 ft 7.375 in,feet/inches,7.502525000000001,Actual slab top Z difference from actual main terrace datum slab; no finish thickness substituted.,0.035,0.035,,,7.5025248527526855,-1.4724731567383742e-07,"A label; C source-to-mesh correspondence, unless noted",PASS,PASS,0.03751262500000001,False,MAIN,elevation,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""MAIN_L1_TERRACE_W_slab"",""axis"":""Z"",""side"":""max"",""coordinate_m"":0.0,""point_m"":[-4.611199855804443,0.10620000213384628,0.0],""evaluated_vertex_ids"":[4,5,6,7],""representative_vertex_id"":4,""selected_objects"":[""MAIN_L1_TERRACE_W_slab""]},{""object"":""MAIN_L3_gallery_roof"",""axis"":""Z"",""side"":""max"",""coordinate_m"":7.5025248527526855,""point_m"":[0.3160560131072998,13.489300727844238,7.5025248527526855],""evaluated_vertex_ids"":[154,173,192,211,230,249,268,286],""representative_vertex_id"":154,""selected_objects"":[""MAIN_L3_gallery_roof""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
MAIN_ROOF_WEST,HABS PA-5346 sheet 10,24 ft 11.75 in,feet/inches,7.613650000000001,Actual slab top Z difference from actual main terrace datum slab; no finish thickness substituted.,0.035,0.035,,,7.613649845123291,-1.548767096792858e-07,"A label; C source-to-mesh correspondence, unless noted",PASS,PASS,0.038068250000000005,False,MAIN,elevation,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""MAIN_L1_TERRACE_W_slab"",""axis"":""Z"",""side"":""max"",""coordinate_m"":0.0,""point_m"":[-4.611199855804443,0.10620000213384628,0.0],""evaluated_vertex_ids"":[4,5,6,7],""representative_vertex_id"":4,""selected_objects"":[""MAIN_L1_TERRACE_W_slab""]},{""object"":""MAIN_L3_study_roof"",""axis"":""Z"",""side"":""max"",""coordinate_m"":7.613649845123291,""point_m"":[-4.451400279998779,10.940500259399414,7.613649845123291],""evaluated_vertex_ids"":[78,97,116,134],""representative_vertex_id"":78,""selected_objects"":[""MAIN_L3_study_roof""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
GUEST_THEATER_LENGTH,HABS PA-5346-A sheet 1 original TIFF,27 ft 9 in,feet/inches,8.4582,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.042291,False,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"NOT_RUN: Nominal27′9×19′5 is printed inside a skew, recessed theater. Neither dimension is drawn with explicit endpoints; true door recess and nonparallel walls make world-axis extent an invalid substitute. Full-scene presence alone does not establish source endpoint identity."
GUEST_THEATER_DEPTH,HABS PA-5346-A sheet 1 original TIFF,19 ft 5 in,feet/inches,5.9182,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.029591,False,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],NOT_RUN: Same nonrectangular theater endpoint ambiguity; no independent source principal-axis endpoint correspondence has been established. Full-scene presence alone does not establish source endpoint identity.
GUEST_POOL_LENGTH,HABS PA-5346-A sheet 1 original TIFF,30 ft 1 in,feet/inches,9.1694,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.045847,False,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh selector failed: No mesh matches exact=['GUEST_L1_MAIN_FLOOR'], prefixes=None, pattern=None"
GUEST_POOL_WIDTH,HABS PA-5346-A sheet 1 original TIFF,13 ft 0 in,feet/inches,3.9624,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh selector failed: No mesh matches exact=['GUEST_L1_MAIN_FLOOR'], prefixes=None, pattern=None"
GUEST_BOILER_DIM_1,HABS PA-5346-A sheet 1 original TIFF,4 ft 7 in,feet/inches,1.397,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh selector failed: No mesh matches exact=['GUEST_L1_MAIN_FLOOR'], prefixes=None, pattern=None"
GUEST_BOILER_DIM_2,HABS PA-5346-A sheet 1 original TIFF,8 ft 2 in,feet/inches,2.4892,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh selector failed: No mesh matches exact=['GUEST_L1_MAIN_FLOOR'], prefixes=None, pattern=None"
GUEST_GUEST_ROOM_LENGTH,HABS PA-5346-A sheet 1 original TIFF,15 ft 9 in,feet/inches,4.8006,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.024003,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh selector failed: No mesh matches exact=['GUEST_L1_MAIN_FLOOR'], prefixes=None, pattern=None"
GUEST_GUEST_ROOM_DEPTH,HABS PA-5346-A sheet 1 original TIFF,14 ft 1 in,feet/inches,4.2926,NOT_RUN,0.0254,0.0254,,,,,"A label; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.021463000000000003,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,[],"Actual mesh selector failed: No mesh matches exact=['GUEST_L1_MAIN_FLOOR'], prefixes=None, pattern=None"
GUEST_LAUNDRY_LENGTH,HABS PA-5346-A sheet 1 original TIFF,11 ft 7 in,feet/inches,3.5306,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,3.530597686767578,-2.3132324220576095e-06,A label; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.02,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""GUEST_B1_BASE_SOUTH_sill_0"",""point_m"":[-0.12151999771595001,37.33544158935547,6.539999961853027],""normal"":[0.0,1.0,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[-0.1215200000000003,38.62888,6.539999961853027],""ray_direction"":[0,-1,0],""ray_distance_m"":1.2934379577636719,""selected_objects"":[""GUEST_B1_BASE_NORTH_SPLAY_pier_end"",""GUEST_B1_BASE_NORTH_pier_end"",""GUEST_B1_BASE_SOUTH_lintel_0"",""GUEST_B1_BASE_SOUTH_pier_0"",""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""GUEST_B1_BASE_SOUTH_pier_end"",""GUEST_B1_BASE_SOUTH_sill_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_head"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_3"",""GUEST_B1_BASE_SOUTH_steel_window_0_sill"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_2""]},{""object"":""GUEST_B1_BASE_NORTH_pier_end"",""point_m"":[-0.12151999771595001,40.86603927612305,6.539999961853027],""normal"":[0.0,-0.9999999403953552,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[-0.1215200000000003,38.62888,6.539999961853027],""ray_direction"":[0,1,0],""ray_distance_m"":2.237159490585327,""selected_objects"":[""GUEST_B1_BASE_NORTH_SPLAY_pier_end"",""GUEST_B1_BASE_NORTH_pier_end"",""GUEST_B1_BASE_SOUTH_lintel_0"",""GUEST_B1_BASE_SOUTH_pier_0"",""GUEST_B1_BASE_SOUTH_pier_0_cork_lining"",""GUEST_B1_BASE_SOUTH_pier_end"",""GUEST_B1_BASE_SOUTH_sill_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_glass_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_head"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_2"",""GUEST_B1_BASE_SOUTH_steel_window_0_mullion_3"",""GUEST_B1_BASE_SOUTH_steel_window_0_sill"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_0"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_1"",""GUEST_B1_BASE_SOUTH_steel_window_0_transom_2""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
GUEST_LAUNDRY_DEPTH,HABS PA-5346-A sheet 1 original TIFF,9 ft 8 in,feet/inches,2.9464,Opposed rays to named evaluated structural/lining faces. Drawing XY only seeds rays; ray intersections determine the measurement. Furnishings and decorative ashlar excluded.,0.0254,0.0254,,,2.9464000463485718,4.634857164731443e-08,A label; C inferred room-label axis and finished-face interpretation from existing guest audit; not explicit surveyed extension endpoints.,PASS,SOURCE_PRECISION_LIMIT,0.02,True,GUEST,plan_span,1e7b17d9c2396513f005724e50788bf834097eedb401b91a7f1030825e2c4ed9,"[{""object"":""GUEST_B1_BASE_BATH_EAST_pier_end"",""point_m"":[-1.7588000297546387,37.943519592285156,6.539999961853027],""normal"":[1.0,-8.745271884436079e-08,0.0],""evaluated_face_index"":52,""evaluated_face_vertex_ids"":[14,22,51,42],""ray_origin_m"":[-0.27920000000000034,37.94352,6.539999961853027],""ray_direction"":[-1,0,0],""ray_distance_m"":1.4796000719070435,""selected_objects"":[""GUEST_B1_BASE_BATH_EAST_door_head_0"",""GUEST_B1_BASE_BATH_EAST_handle_0"",""GUEST_B1_BASE_BATH_EAST_jamb_0_a"",""GUEST_B1_BASE_BATH_EAST_jamb_0_b"",""GUEST_B1_BASE_BATH_EAST_lintel_0"",""GUEST_B1_BASE_BATH_EAST_lintel_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_open_leaf_0"",""GUEST_B1_BASE_BATH_EAST_pier_0"",""GUEST_B1_BASE_BATH_EAST_pier_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_pier_end"",""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""GUEST_B1_BASE_EAST_door_head_0"",""GUEST_B1_BASE_EAST_handle_0"",""GUEST_B1_BASE_EAST_jamb_0_a"",""GUEST_B1_BASE_EAST_jamb_0_b"",""GUEST_B1_BASE_EAST_lintel_0"",""GUEST_B1_BASE_EAST_open_leaf_0"",""GUEST_B1_BASE_EAST_pier_0"",""GUEST_B1_BASE_EAST_pier_end""]},{""object"":""GUEST_B1_BASE_EAST_pier_end"",""point_m"":[1.187600016593933,37.943519592285156,6.539999961853027],""normal"":[-1.0,4.542389575590278e-08,0.0],""evaluated_face_index"":50,""evaluated_face_vertex_ids"":[2,8,37,29],""ray_origin_m"":[-0.27920000000000034,37.94352,6.539999961853027],""ray_direction"":[1,0,0],""ray_distance_m"":1.4667999744415283,""selected_objects"":[""GUEST_B1_BASE_BATH_EAST_door_head_0"",""GUEST_B1_BASE_BATH_EAST_handle_0"",""GUEST_B1_BASE_BATH_EAST_jamb_0_a"",""GUEST_B1_BASE_BATH_EAST_jamb_0_b"",""GUEST_B1_BASE_BATH_EAST_lintel_0"",""GUEST_B1_BASE_BATH_EAST_lintel_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_open_leaf_0"",""GUEST_B1_BASE_BATH_EAST_pier_0"",""GUEST_B1_BASE_BATH_EAST_pier_0_cork_lining"",""GUEST_B1_BASE_BATH_EAST_pier_end"",""GUEST_B1_BASE_BATH_EAST_pier_end_cork_lining"",""GUEST_B1_BASE_EAST_door_head_0"",""GUEST_B1_BASE_EAST_handle_0"",""GUEST_B1_BASE_EAST_jamb_0_a"",""GUEST_B1_BASE_EAST_jamb_0_b"",""GUEST_B1_BASE_EAST_lintel_0"",""GUEST_B1_BASE_EAST_open_leaf_0"",""GUEST_B1_BASE_EAST_pier_0"",""GUEST_B1_BASE_EAST_pier_end""]}]",Numeric mesh comparison only; see category coverage and source precision in audit report.
