component_id,source,original,original_unit,meters,method,uncertainty_m,source_recorded_uncertainty_m,survey_absolute_accuracy_m,nominal_target_review,model_m,difference_m,evidence,numeric_result,standard_result,tolerance_m,source_precision_exceeds_tolerance,building,feature_category,scene_sha256,mesh_selector_evidence,notes,strict_independent_nominal_anchor,measured_min_m,measured_max_m,max_sampled_abs_error_m,origin_report
MAIN_CHAIN_TOTAL,HABS PA-5346 sheet 04,120 ft 4.25 in,feet/inches,36.68395,,0.1,0.1,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.18341975000000002,False,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],The chain reaches the far bridge/retaining edge outside the main-house module; its westmost extension is an outside paving/rock station with no named matching main mesh. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_01,HABS PA-5346 sheet 04,9 ft 7.25 in,feet/inches,2.92735,,0.1,0.1,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],The west pair of dimension extension lines refer to exterior paving/retaining stations; these are not explicit named main-house mesh boundaries. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_02,HABS PA-5346 sheet 04,7 ft 8.5 in,feet/inches,2.3495,,0.07,0.07,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],The west extension station at source x=284 has no unambiguous named main-house boundary; cannot independently pair it with the spine face. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_03,HABS PA-5346 sheet 04,11 ft,feet/inches,3.3528000000000002,Actual evaluated east outer faces of two north masonry returns; original TIFF extension lines establish the correspondence.,0.01,0.01,,,3.3527998998761177,-1.0012388251823268e-07,"A; C source-to-mesh correspondence, unless noted",PASS,PASS,0.02,False,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,"[{""object"":""MAIN_L1_north_spine_1"",""axis"":""X"",""side"":""max"",""coordinate_m"":0.06780003756284714,""point_m"":[0.06780003756284714,16.719499588012695,0.10699999332427979],""evaluated_vertex_ids"":[14,22,42,51],""representative_vertex_id"":22,""selected_objects"":[""MAIN_L1_north_spine_1""]},{""object"":""MAIN_L1_north_spine_3"",""axis"":""X"",""side"":""max"",""coordinate_m"":3.420599937438965,""point_m"":[3.420599937438965,14.184700012207031,0.10699999332427979],""evaluated_vertex_ids"":[14,22,42,51],""representative_vertex_id"":14,""selected_objects"":[""MAIN_L1_north_spine_3""]}]",Existing individually reviewed source anchor,True,3.3527998998761177,3.3527998998761177,,dimensions12-integration12a-central44.json
MAIN_CHAIN_04,HABS PA-5346 sheet 04,24 ft 6 in,feet/inches,7.467600000000001,,0.09,0.09,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.037338,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],The east extension at source x=535 meets the loggia/entry terrace transition; the exact referenced face versus paving station is not established in the current main mesh. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_05,HABS PA-5346 sheet 04,11 ft 8 in,feet/inches,3.556,,0.08,0.08,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],The two loggia/paving extension stations are not independently mapped to modeled outer faces; the traced floor boundary alone cannot certify the label. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_06,HABS PA-5346 sheet 04,17 ft 9 in,feet/inches,5.410200000000001,,0.08,0.08,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.027051000000000002,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],"The dimension crosses the loggia/stair/retaining transition; top landing, retaining wall and paving have different physical ends and the label-to-face match is unresolved. Full-scene presence alone does not establish source endpoint identity.",False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_07,HABS PA-5346 sheet 04,13 ft 9 in,feet/inches,4.191,,0.09,0.09,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.020954999999999998,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],"This span includes the bridge approach, built by the site module; main-only scene lacks the east surveyed station. Full-scene presence alone does not establish source endpoint identity.",False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_08,HABS PA-5346 sheet 04,22 ft 5.5 in,feet/inches,6.845300000000001,,0.09,0.09,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.03422650000000001,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],This bridge/site span is outside the main-house module; no actual main mesh can supply both ends. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
MAIN_CHAIN_09,HABS PA-5346 sheet 04,1 ft 11 in,feet/inches,0.5842,,0.07,0.07,,,,,"A; C source-to-mesh correspondence, unless noted",NOT_RUN,NOT_RUN,0.02,True,MAIN,plan_span,50e0a8fc0bab10fdec0e0b9d26c4ef4a4c71fa56aea6401e75197787c8c0e75a,[],The final bridge/retaining-edge span is outside the main-house module. Full-scene presence alone does not establish source endpoint identity.,False,,,,dimensions12-integration12a-central44.json
