id,label,building,level,z,height,kind,center,entry,polygon,reference,evidence,model_status,qa_cameras,qa_status,notes
MAIN_B_WINE,Wine Cellar,MAIN,B,-2.15,2.15,storage,"[-2.62, 13.168800000000001, -2.15]","[-3.3012, 15.6645, -2.15]","[[-3.93, 15.717600000000001], [-2.2008, 15.717600000000001], [-2.2008, 13.646700000000001], [-0.3144, 13.646700000000001], [-0.3144, 12.2661], [-3.8776, 12.2661]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_WINE_A"", ""CAM_MAIN_B_WINE_B""]",NOT_ACCEPTED,"Access follows the internal north stair leg. Sheet03 west boundary is rock/retaining wall, not an outside doorway."
MAIN_B_BATH,Bath,MAIN,B,-2.15,2.15,bathroom,"[-1.1528, 14.6556, -2.15]","[-1.9388, 14.337, -2.15]","[[-1.8864, 15.558300000000001], [-0.4192, 15.558300000000001], [-0.4192, 13.6998], [-1.8864, 13.6998]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_BATH_A"", ""CAM_MAIN_B_BATH_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_B_BOILER,Boiler Room,MAIN,B,-2.15,2.15,mechanical,"[1.572, 12.5847, -2.15]","[0.3668, 12.850200000000001, -2.15]","[[0.3668, 13.806000000000001], [2.882, 13.806000000000001], [2.882, 11.4696], [0.3668, 11.4696]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_BOILER_A"", ""CAM_MAIN_B_BOILER_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_B_STAIR,Basement Stair,MAIN,B,-2.15,2.15,stair,"[-4.0872, 17.1513, -2.15]","[-3.3012, 15.6645, -2.15]","[[-6.4976, 18.0009], [-2.62, 18.0009], [-2.62, 15.5052], [-3.93, 15.5052], [-3.93, 16.5672], [-6.4976, 16.5672]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_STAIR_A"", ""CAM_MAIN_B_STAIR_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_B_FOUNDATION_1,Foundation Bay 1,MAIN,B,-2.8467,2.15,foundation,"[1.1528, 7.9119, -2.8467]","[1.048, 5.5755, -2.8467]","[[-0.4192, 10.4076], [2.7248, 10.779300000000001], [2.7248, 5.7348], [-0.4192, 5.5755]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_FOUNDATION_1_A"", ""CAM_MAIN_B_FOUNDATION_1_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_B_FOUNDATION_2,Foundation Bay 2,MAIN,B,-2.8467,2.15,foundation,"[5.0304, 8.708400000000001, -2.8467]","[5.0304, 5.0445, -2.8467]","[[3.5632, 13.487400000000001], [6.550000000000001, 13.487400000000001], [6.550000000000001, 4.9914000000000005], [3.5632, 4.9914000000000005]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_FOUNDATION_2_A"", ""CAM_MAIN_B_FOUNDATION_2_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_B_FOUNDATION_3,Foundation Bay 3,MAIN,B,-2.8467,2.15,foundation,"[8.5412, 8.7615, -2.8467]","[8.5412, 5.0445, -2.8467]","[[7.2836, 13.487400000000001], [9.7988, 13.487400000000001], [9.7988, 11.416500000000001], [10.3228, 11.416500000000001], [10.3228, 4.9914000000000005], [7.2836, 4.9914000000000005]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_FOUNDATION_3_A"", ""CAM_MAIN_B_FOUNDATION_3_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_B_PLUNGE,Plunge Pool,MAIN,B,-2.5,2.15,pool,"[14.357600000000001, 7.3809000000000005, -2.5]","[19.0736, 9.027000000000001, -2.5]","[[10.7944, 8.549100000000001], [15.772400000000001, 8.549100000000001], [15.772400000000001, 9.982800000000001], [19.2832, 9.982800000000001], [19.2832, 9.7173], [19.8596, 9.7173], [19.8596, 5.7879000000000005], [10.7944, 5.7879000000000005]]",HABS PA-5346 sheet 03,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_B_PLUNGE_A"", ""CAM_MAIN_B_PLUNGE_B""]",NOT_ACCEPTED,"Inspection envelope includes wet basin, northeast stair recess and perimeter stonework. It is NOT a continuous dry walkable polygon. Main04 original shows the northern wall stop nearx628. Loggia stair gives pool-edge observation access; a dry ring route to East Terrace is source-unsupported. Model access level-2.50m and water-2.70m remainC."
MAIN_L1_LIVING,Living Room,MAIN,L1,0.1,2.4,living,"[4.192, 7.1154, 0.1]","[7.7552, 10.620000000000001, 0.1]","[[0.0, 14.921100000000001], [2.9859999999775995, 14.921100000000001], [2.9859999999775995, 13.965300000000001], [6.340400000000001, 13.965300000000001], [6.340400000000001, 11.3103], [7.4408, 10.620000000000001], [10.5324, 10.620000000000001], [10.5324, 4.779], [6.759600000000001, 4.779], [6.759600000000001, 0.1593], [0.0524, 0.1593], [0.0524, 4.1949000000000005], [-0.6812, 4.1949000000000005], [-0.6812, 8.496], [0.2096, 8.496], [0.2096, 10.7262], [0.0, 10.7262]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_LIVING_A"", ""CAM_MAIN_L1_LIVING_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_KITCHEN,Kitchen,MAIN,L1,0.1,2.4,kitchen,"[-1.834, 13.7529, 0.1]","[-0.1572, 13.88565, 0.1]","[[-3.5108, 16.461000000000002], [-0.3668, 16.461000000000002], [-0.3668, 14.337], [0.0524, 14.337], [0.0524, 13.3812], [-0.3668, 13.3812], [-0.3668, 11.6289], [-1.048, 11.6289], [-1.048, 11.097900000000001], [-2.8558000000000003, 11.097900000000001], [-2.8558000000000003, 11.713860000000002], [-3.5108, 11.713860000000002]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_KITCHEN_A"", ""CAM_MAIN_L1_KITCHEN_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
