point_id,role,definition,photo_x,photo_y,old_x,old_y,new_x,new_y,old_residual_px,new_residual_px,residual_delta_px,old_world,new_world
E01,fit,east terrace southeast top,305,386,306.2772050584517,399.6384466769303,305.35378871096873,373.47900223742585,13.698119597988837,12.525995027238192,-1.1721245707506451,"[14.30519962310791, -0.2793000042438507, 0.49000000953674316]","[14.30519962310791, -0.2793000042438507, 1.0800000429153442]"
E02,fit,east terrace southwest top,226,375,239.1339243674522,385.9883814096743,238.41364089059067,367.92055722821806,17.1243830631772,14.290451011758877,-2.833932051418321,"[6.8643999099731445, -0.2793000042438507, 0.49000000953674316]","[6.8643999099731445, -0.2793000042438507, 1.0800000429153442]"
E03,fit,east terrace southeast base,305,456,307.415171001118,431.8758625861934,307.8037299588845,442.8833420345165,24.244732560390588,13.41296454426942,-10.831768016121169,"[14.30519962310791, -0.2793000042438507, -0.24000000953674316]","[14.30519962310791, -0.2793000042438507, -0.49000003933906555]"
E04,fit,east terrace southwest base,226,400,240.02266182151612,408.2817597521468,240.32640039538893,415.9008365825271,16.28565593253414,21.402858507994505,5.1172025754603645,"[6.8643999099731445, -0.2793000042438507, -0.24000000953674316]","[6.8643999099731445, -0.2793000042438507, -0.49000003933906555]"
E05,fit,east terrace northeast top,608,377,593.5016167579624,380.78514903573534,593.200636459964,361.4760166554256,14.984340821528447,21.447965406368258,6.4636245848398115,"[14.425199508666992, 8.336700439453125, 0.49000000953674316]","[14.425199508666992, 8.336700439453125, 1.0800000429153442]"
E06,holdout,east terrace northeast base,608,426,593.8729178087978,404.6056488864051,593.9997974482301,412.7455031242299,25.637720468262437,19.279194975941913,-6.358525492320524,"[14.425199508666992, 8.336700439453125, -0.24000000953674316]","[14.425199508666992, 8.336700439453125, -0.49000003933906555]"
E08,fit,upper east terrace southeast top,703,246,698.8225183517734,251.57693735590556,698.8225183517734,251.57693735590556,6.968040125671273,6.968040125671273,0.0,"[19.75480079650879, 6.517499923706055, 3.5299999713897705]","[19.75480079650879, 6.517499923706055, 3.5299999713897705]"
E09,holdout,upper east terrace southeast base,703,315,699.1930467256823,296.2049903706905,699.1930467256823,296.2049903706905,19.17668585023688,19.17668585023688,0.0,"[19.75480079650879, 6.517499923706055, 2.580000162124634]","[19.75480079650879, 6.517499923706055, 2.580000162124634]"
E11,fit,upper east terrace northeast top,790,264,799.5119524825714,261.87993305865325,799.5119524825714,261.87993305865325,9.74535396311939,9.74535396311939,0.0,"[19.874801635742188, 10.248299598693848, 3.5299999713897705]","[19.874801635742188, 10.248299598693848, 3.5299999713897705]"
E12,holdout,upper east terrace northeast base,790,316,799.5685755017691,300.404766897341,799.5685755017691,300.404766897341,18.29669185014951,18.29669185014951,0.0,"[19.874801635742188, 10.248299598693848, 2.580000162124634]","[19.874801635742188, 10.248299598693848, 2.580000162124634]"
E13,fit,Master terrace southeast top; separate terrace from guest terrace,191,300,169.64766296199417,287.1699557384364,169.64766296199417,287.1699557384364,24.910486401077698,24.910486401077698,0.0,"[7.246400356292725, -2.17710018157959, 3.5900001525878906]","[7.246400356292725, -2.17710018157959, 3.5900001525878906]"
E14,holdout,Master terrace southeast base,191,337,171.1387608413758,320.8100664426439,171.1387608413758,320.8100664426439,25.623871087477617,25.623871087477617,0.0,"[7.246400356292725, -2.17710018157959, 2.5799999237060547]","[7.246400356292725, -2.17710018157959, 2.5799999237060547]"
